ppu_ctrl1_val                              00000009   
level10_map3                               0005F91C   
jump_from_bank5                            0005FFCB   
obj_sprites_                               0006862F   
object_sprites                             0006863C   
object_sprites_cycle                       000686D5   
objects_second_pal                         000686EF   
object_sprites_                            0006870C   
object_sprites_cycle_                      0006870E   
hide_sprites_by_Y                          00068778   
level4_stick_bug                           000689F7   
objects_some_sprites                       00068C0A   
read_obj_anim                              00068CC9   
write_obj_sprites                          00068D03   
clear_scrolls_reg                          00069146   
write_scroll_by_V                          0006914B   
game_end_event_starter                     000691AC   
game_over_event                            000697C0   
first_load                                 0006A16D   
pal_to_ppu                                 0006A228   
wait_vblank_                               0006A243   
write_pal_to_ppu                           0006A249   
load_level_palettes                        0006A267   
levels_pals_ptr                            0006A281   
palette_chars                              0006A3DD   
set_previous_bank_as_0                     0006A87D   
unk1_ptr_L                                 0006AA58   
unk1_ptr_H                                 0006AA64   
continue_game_end                          0006ACB8   
sprtable_X_offs                            0006AE89   
sprtable_Y_offs                            0006AE8A   
rash_sprcfg_ptrH                           0006C532   
obj_sprcfg_ptrH                            0006C5B9   
rash_sprcfg_ptrL                           0006C6B5   
obj_sprcfg_ptrL                            0006C73C   
sprite_lists                               0006C838   
level_base_load                            0006D5BB   
level_infobar_colors                       0006D5E0   
set_attributes_vram                        0006D5EE   
random_for_bank6                           0006DAD1   
level_values_load                          0006DAFC   
level_base_X_H                             0006DBA4   
level_base_X_L                             0006DBA5   
level_base_Y_H                             0006DBA6   
level_base_Y_L                             0006DBA7   
level_struct_id                            0006DBA8   
level_bg_pal_id                            0006DBA9   
level_obj_pal_id                           0006DBAA   
level_bg_gfx_id                            0006DBAB   
level_obj_gfx_id                           0006DBAC   
text_decompress                            0006E60F   
fill_sprite_buffer_                        0006FEB2   
hide_sprites_from_n                        0006FEB4   
clear_sprites                              0006FEBD   
dma_for_sprites                            0006FEC0   
jump_from_bank6                            0006FFCB   
wait_by_X_and_Y                            0006FFEB   
tbl_for_vscroll                            0007801B   
table_multiple_7                           0007808A   
unpack_some?                               00078AA3   
level_planp_ptr                            00078B6F   
gfx_copy_code                              00078CA3   
IRQ                                        0007FF3F P 
NMI                                        0007FF98 P 
banks_ids_0                                0007FFB3   
RESET                                      0007FFF2 P 
